question,expected_tag,expected_answer,needs_context
"আমি নামজারির ব্যাপারে কিছু জানতে চাই। আসলে আমি পড়ালেখা করিনি, অক্ষর চিনি না ভালো করে। কিন্তু আমার দরকার নামজারি করা। আমি শুনেছি অনলাইনে করতে হয়। আমি তো কম্পিউটার চালাতে পারি না। আমার জন্য কি কোনো সহায্য আছে? কেউ কি আমাকে সাহায্য করতে পারবে?",namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।",False
"আমি খুব বিরক্ত হয়ে গেছি। গত ২ মাস ধরে ভূমি অফিসে দৌড়াদৌড়ি করতেছি। একবার বলে একটা কাগজ লাগবে, আরেকবার বলে আরেকটা। আজকে গিয়ে দেখি তহশিলদার সাহেব বলতেছেন আরও কাগজ লাগবে। আমি বুঝতে পারতেছি না ঠিক কী কী কাগজ লাগে নামজারির জন্য। কেউ কি সব কাগজের একটা তালিকা দিতে পারেন?",namjari_required_documents,"ক্রয় বা হেবা বা এওয়াজবদল দলিল মূলে নামজারি করতে- মূল দলিলের মূল কপি বা সার্টিফাইড কপি, দাতার নামে রেকর্ডীয় বা নামজারি খতিয়ান, না থাকলে ভায়া দলিল, যাদের নামে নামজারি হবে তাদের ছবি, এনআইডি ও হালতক শূমি উন্নয়ন করদেয়া প্রমান বা দাখিলা।দলিলের ফটোকপি দিয়ে নামজারি করা যাবে না। আপলোডেড সকল দলিল আবেদনগ্রহীতার একাউন্টে থাকবে, কাজেই মূল দলিল বা সার্টিফাইড কপি দিতে হবে।",False
আরে ভাই একটা ব্যাপার। আমি তো মেয়ে মানুষ। আমার স্বামী বিদেশে কাজ করে। আমার শ্বশুর মারা গেছেন গত বছর। এখন আমার স্বামীর নামে জমিটা করতে হবে। কিন্তু গ্রামের চেয়ারম্যান বলতেছেন মেয়েদের একা একা এসব কাজ করতে সমস্যা হতে পারে। আমি কি একা নামজারির কাজ করতে পারব? নাকি কোনো পুরুষ মানুষ লাগবে?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।",False
"আমার একটা প্রশ্ন আছে। আমার একটা আত্মীয় আছেন, তিনি একজন দালাল। তিনি বলেছেন যে আমি তাকে ২০,০০০ টাকা দিলে তিনি ১৫ দিনের মধ্যে নামজারির সব কাজ করে দেবেন। কিন্তু আমার মনে হচ্ছে এইটা অনেক টাকা। আসলে দালাল ছাড়া কি নামজারি করা সম্ভব? নাকি সত্যিই দালাল লাগে?",namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।",False
আমি একটা সমস্যায় পড়েছি। আমার মেয়ের বিয়ে হয়েছে ৩ বছর আগে। এখন আমি মরে গেলে আমার সম্পত্তিতে তার কি কোনো অধিকার থাকবে? নাকি শুধু ছেলেদেরই অধিকার থাকবে? এই নামজারির ক্ষেত্রে মেয়েদের অবস্থান কী? আমার দুই ছেলে আর একটা মেয়ে।,namjari_inheritance_documents,"মূল মালিকের মৃত্যুর পরে তার ওয়ারিশগণের নামে নামজারি করতে যদি একটি খতিয়ানে সকল ওয়ারিশদের নাম রাখা হয় তবে রেজিস্টার্ড বন্টননামা লাগবে না, যদি একাধিক ওয়ারিশানদের নামে পৃথক খতিয়ান করতে চায় সেক্ষেত্রে রেজিস্টার্ড বন্টননামা লাগবে। এছাড়া হাল ওয়াশিাননামা, মূল মালিকের খতিয়ানের বা নামজারি খতিয়ানের কপি, সকলের ছবি ও এনআইডি লাগবে।",False
গতকাল আমার মোবাইলে একটা এসএমএস এসেছে। কিন্তু আমি পড়তে পারিনি কারণ ইংরেজিতে লেখা ছিল। আমার ছেলে বলল এটা নামজারির ব্যাপারে কিছু একটা। আমি ভয় পাচ্ছি যে কোনো গুরুত্বপূর্ণ কিছু মিস করেছি কি না। এই মেসেজগুলো সাধারণত কী ধরনের তথ্য থাকে? কী করা উচিত?,namjari_hearing_notification,"নামজারি আবেদন দাখিল হলে মোবাইলে এসএমএস যাবে ও কাগজেও নোটিশ যাবে। এসএমএস বা নোটিশে শুনানীর তারিখ ও সময় থাকবে, মোবাইল করার প্রয়োজন হবে না।",False
আমার একটা বড় সমস্যা। আমার বাবার মৃত্যু সনদটা হারিয়ে গেছে। বাড়িতে সব খোঁজাখুঁজি করেছি কিন্তু পাইনি। হয়তো আমার মা কোথাও রেখে ভুলে গেছেন। এখন নামজারির জন্য তো এই কাগজটা লাগবে। নতুন করে মৃত্যু সনদ করতে হবে নাকি? কোথায় যেতে হবে? কত সময় লাগতে পারে?,namjari_inheritance_documents,"মূল মালিকের মৃত্যুর পরে তার ওয়ারিশগণের নামে নামজারি করতে যদি একটি খতিয়ানে সকল ওয়ারিশদের নাম রাখা হয় তবে রেজিস্টার্ড বন্টননামা লাগবে না, যদি একাধিক ওয়ারিশানদের নামে পৃথক খতিয়ান করতে চায় সেক্ষেত্রে রেজিস্টার্ড বন্টননামা লাগবে। এছাড়া হাল ওয়াশিাননামা, মূল মালিকের খতিয়ানের বা নামজারি খতিয়ানের কপি, সকলের ছবি ও এনআইডি লাগবে।",False
ভাই আমার আরেকটা ঝামেলা। আমার বড় ভাই কানাডায় থাকে। গত ১০ বছর ধরে সেখানেই আছে। এখন আমাদের বাবার জমির নামজারি করতে হবে। কিন্তু ওয়ারিশ সার্টিফিকেটে তো সবার স্বাক্ষর লাগবে। আমার ভাই কিন্তু দেশে আসতে পারবে না। কী করা যায় এখন? বিদেশ থেকে কোনো কাগজ পাঠানো যায় নাকি?,namjari_inheritance_documents,"মূল মালিকের মৃত্যুর পরে তার ওয়ারিশগণের নামে নামজারি করতে যদি একটি খতিয়ানে সকল ওয়ারিশদের নাম রাখা হয় তবে রেজিস্টার্ড বন্টননামা লাগবে না, যদি একাধিক ওয়ারিশানদের নামে পৃথক খতিয়ান করতে চায় সেক্ষেত্রে রেজিস্টার্ড বন্টননামা লাগবে। এছাড়া হাল ওয়াশিাননামা, মূল মালিকের খতিয়ানের বা নামজারি খতিয়ানের কপি, সকলের ছবি ও এনআইডি লাগবে।",False
আমি জানতে চাই যে ওয়ারিশ সার্টিফিকেট বানাতে কত সময় লাগে। আমি গত সপ্তাহে ইউনিয়ন পরিষদে গেছিলাম। সেখানে বলল ১৫ দিন লাগবে। কিন্তু আমার প্রতিবেশী বলছে তার ২ মাস লেগেছিল। আসলে কত সময়ের মধ্যে পাওয়া যায়? এর জন্য কোনো আলাদা ফি আছে কি?,namjari_inheritance_documents,"মূল মালিকের মৃত্যুর পরে তার ওয়ারিশগণের নামে নামজারি করতে যদি একটি খতিয়ানে সকল ওয়ারিশদের নাম রাখা হয় তবে রেজিস্টার্ড বন্টননামা লাগবে না, যদি একাধিক ওয়ারিশানদের নামে পৃথক খতিয়ান করতে চায় সেক্ষেত্রে রেজিস্টার্ড বন্টননামা লাগবে। এছাড়া হাল ওয়াশিাননামা, মূল মালিকের খতিয়ানের বা নামজারি খতিয়ানের কপি, সকলের ছবি ও এনআইডি লাগবে।",False
আমার খতিয়ানের কপিটা একটু পুরানো। ২০১৮ সালের। এখন ২০২৫। আমার মনে হচ্ছে হয়তো নতুন কপি লাগতে পারে। কিন্তু আমি নিশ্চিত না যে কত পুরানো হলে সমস্যা হয়। নামজারির জন্য কি সব সময় সর্বশেষ খতিয়ান কপি লাগে? নাকি কয়েক বছর আগেরটা চলবে?,namjari_khatian_copy,নামজারি মহ্জুর হলে আপনার মোবাইলে ১১০ টাকা জমা দেবার জন্য মেসেজ গেলে আপনি আপনার প্রোফইল হতে টাকা জমা দিলে আপনার নামে ডিসিআর ও খতিয়ান প্রস্তুত হয়ে আপনার প্রোফাইলে জমা থাকবে। আপনি আপনার মন মতো সময়ে তা প্রিন্ট নিতে পারবেন ও তা অনলাইনেও দেখাবে।,False
আমার একটা কনফিউশন আছে। তহশিল অফিস থেকে যে খতিয়ানের কপি দেয় সেটা সার্টিফাইড কপি নাকি সাধারণ কপি? আর এই দুইটার মধ্যে পার্থক্য কী? নামজারির জন্য কোনটা লাগে? আমি শুনেছি সার্টিফাইড কপি বেশি দামী।,namjari_khatian_copy,নামজারি মহ্জুর হলে আপনার মোবাইলে ১১০ টাকা জমা দেবার জন্য মেসেজ গেলে আপনি আপনার প্রোফইল হতে টাকা জমা দিলে আপনার নামে ডিসিআর ও খতিয়ান প্রস্তুত হয়ে আপনার প্রোফাইলে জমা থাকবে। আপনি আপনার মন মতো সময়ে তা প্রিন্ট নিতে পারবেন ও তা অনলাইনেও দেখাবে।,False
আমি খুব টেনশনে আছি। গতকাল আমিন স্যার আমার বাড়িতে এসেছিলেন। তিনি বলেছেন আগামী বুধবার শুনানি আছে। কিন্তু আমি জানি না কী কী নিয়ে যেতে হবে। শুনানিতে কি সাক্ষী নিয়ে যেতে হয়? নাকি শুধু কাগজপত্র হলেই চলবে? আর কোন কোন কাগজের মূল কপি লাগবে?,namjari_hearing_documents,"শুনানীর সময় যে সব কাগজাদি আপলোড করা হয়েছে , আবেদনকারী নিজে বা তার পক্ষে যে কাগজাদি বোঝে এমন কাউকে সব কাগজাদি নিয়ে যেতে হবে। অন্য কোন প্রয়োজনীয় কাগজাদি থাকলে তাও নেয়া ভাল।",False
আজকে আমার একটা অদ্ভুত অভিজ্ঞতা হলো। আমিন স্যার আমাকে বললেন যে আমার শুনানির তারিখ পিছিয়ে দেওয়া হয়েছে। আমি তো সব প্রস্তুতি নিয়ে গেছিলাম। তিনি বললেন নতুন তারিখ পরে জানানো হবে। কিন্তু এটা কি স্বাভাবিক? শুনানির তারিখ এভাবে পিছানো হয় কেন?,namjari_hearing_notification,"নামজারি আবেদন দাখিল হলে মোবাইলে এসএমএস যাবে ও কাগজেও নোটিশ যাবে। এসএমএস বা নোটিশে শুনানীর তারিখ ও সময় থাকবে, মোবাইল করার প্রয়োজন হবে না।",False
একটা ব্যাপার আমি বুঝতে পারছি না। গত সপ্তাহে আমার শুনানি ছিল রবিবার। কিন্তু রবিবার তো অফিস বন্ধ থাকে। আমি গিয়ে দেখি অফিসই বন্ধ। এটা কি কোনো ভুল? নাকি ছুটির দিনেও শুনানি হয়? আমি কার সাথে যোগাযোগ করব এই ব্যাপারে?,namjari_hearing_notification,"নামজারি আবেদন দাখিল হলে মোবাইলে এসএমএস যাবে ও কাগজেও নোটিশ যাবে। এসএমএস বা নোটিশে শুনানীর তারিখ ও সময় থাকবে, মোবাইল করার প্রয়োজন হবে না।",False
"আমার একটা বড় সমস্যা হয়েছে। আমি ইতিমধ্যে দুই বার শুনানি মিস করে ফেলেছি। প্রথমবার আমি অসুস্থ ছিলাম, দ্বিতীয়বার আমার বাবা হাসপাতালে ছিলেন। এখন আমি ভয় পাচ্ছি যে আমার আবেদনটা বাতিল হয়ে যাবে কি না। দুইবার অনুপস্থিত থাকলে কী হয়? আমি কি আর সুযোগ পাব?",namjari_hearing_notification,"নামজারি আবেদন দাখিল হলে মোবাইলে এসএমএস যাবে ও কাগজেও নোটিশ যাবে। এসএমএস বা নোটিশে শুনানীর তারিখ ও সময় থাকবে, মোবাইল করার প্রয়োজন হবে না।",False
"আমি গত ৪ মাস ধরে নামজারির জন্য অপেক্ষা করছি। প্রথমে আবেদন করেছিলাম, তারপর একবার শুনানিও হয়েছিল। কিন্তু এখনো কোনো চূড়ান্ত খবর পাইনি। আমি জানতে চাই আমার আবেদনটা এখন কোন পর্যায়ে আছে। এটা কি স্বাভাবিক যে এত দেরি হচ্ছে? কোথায় যেতে হবে খোঁজ নিতে?",namjari_status_check,"নামজারি মামলার অগ্রগতি জানতে  land,gov,bd তে প্রবেশ করে আবেদন অবস্থা বাটনে ক্লিক করে তথ্য দিলে আপনি মামলঅর অবস্ধা জানতে পারবেন।",False
আমার একটা প্রশ্ন আছে। আমি জানি না আমার আবেদনটা এখন কোথায় আটকে আছে। গত মাসে একবার অফিসে গিয়ে জিজ্ঞেস করেছিলাম। কিন্তু সেখানে কোনো সঠিক তথ্য দিতে পারেনি। তারা বলেছিল 'প্রক্রিয়াধীন আছে'। কিন্তু এর মানে কী? আমি কীভাবে জানব যে কাজটা এগিয়ে চলেছে?,namjari_status_check,"নামজারি মামলার অগ্রগতি জানতে  land,gov,bd তে প্রবেশ করে আবেদন অবস্থা বাটনে ক্লিক করে তথ্য দিলে আপনি মামলঅর অবস্ধা জানতে পারবেন।",False
গত মাসে আমার নামজারির আবেদন রিজেক্ট হয়েছে। চিঠিতে লেখা ছিল 'অসম্পূর্ণ তথ্যের জন্য'। কিন্তু কোন তথ্য অসম্পূর্ণ ছিল সেটা স্পষ্ট করে বলা ছিল না। এখন আমি কী করতে পারি? নতুন করে আবেদন করব নাকি আপিল করব? কোনটা ভালো হবে?,namjari_rejected_appeal,"এসি ল্যান্ড নামজারি না মঞ্জুর করলে এসি (ল্যান্ড) এর নিকট ১৫০ ধারায় রিভিউ বা অতিরিক্ত জেলা প্রশাসক (রাজস্ব) এর নিকট আপিল করা যায়। মনে রাখতে হবে, একবার নামজারি নামঞ্জুর হলে দ্বিতীয় বার আবেদন করা যায় না আবার রিভিউ নামঞ্জুর হলে আপিল করা যায় না।",False
আমার ক্ষেত্রে একটা সমস্যা হয়েছে। আমার নামজারি আপিল করার সময় শেষ হয়ে গেছে। আমি জানতামই না যে আপিলের জন্য একটা নির্দিষ্ট সময় আছে। এখন কী করা যায়? নতুন করে আবেদন করা ছাড়া আর কোনো উপায় আছে কি? আপিলের সময় কতদিন থাকে?,namjari_rejected_appeal,"এসি ল্যান্ড নামজারি না মঞ্জুর করলে এসি (ল্যান্ড) এর নিকট ১৫০ ধারায় রিভিউ বা অতিরিক্ত জেলা প্রশাসক (রাজস্ব) এর নিকট আপিল করা যায়। মনে রাখতে হবে, একবার নামজারি নামঞ্জুর হলে দ্বিতীয় বার আবেদন করা যায় না আবার রিভিউ নামঞ্জুর হলে আপিল করা যায় না।",False
আমার কাছে একটা সমস্যা আছে। সার্ভে রেকর্ডে দাগ নম্বর ভুল লেখা আছে। আসলে দাগ নম্বর ৪৫ কিন্তু লেখা আছে ৫৪। এছাড়া আমার জমির পরিমাণও ভুল দেখাচ্ছে। আসলে ২ বিঘা কিন্তু লেখা আছে ১.৫ বিঘা। এই ভুল তথ্যগুলো কীভাবে ঠিক করাব? কোন অফিসে যেতে হবে?,namjari_khatian_correction,নামজারি মঞ্জুর হয়েছে খতিয়ানে যে কোন ভুলের জন্য আপনি আপনার প্রোফাইল হতে সংশোধন বাটনে ক্লিক করে তথ্য দিয়ে সংশোধনের আবেদন করতে পারবেন এবং এসি (ল্যান্ড) মঞ্জুর করলে আপনি সংশোধিত খতিয়ান পাবেন।,False
জরিপের সময় আমাদের পরিবারে শুধু আমার দাদার নাম ছিল খতিয়ানে। কিন্তু এখন আমরা ৪ ভাই। আমার বাবাও মারা গেছেন। এখন খতিয়ানে আমাদের সবার নাম যোগ করতে হবে। কিন্তু পুরানো খতিয়ানে শুধু একটা নাম। এই সংশোধনের জন্য কী ধরনের প্রমাণ লাগবে? পারিবারিক সম্পর্কের প্রমাণ কীভাবে দেব?,namjari_khatian_correction,নামজারি মঞ্জুর হয়েছে খতিয়ানে যে কোন ভুলের জন্য আপনি আপনার প্রোফাইল হতে সংশোধন বাটনে ক্লিক করে তথ্য দিয়ে সংশোধনের আবেদন করতে পারবেন এবং এসি (ল্যান্ড) মঞ্জুর করলে আপনি সংশোধিত খতিয়ান পাবেন।,False
আমার খতিয়ানে আমার বাবার নামের বানান ভুল আছে। আসল নাম 'মোহাম্মদ আলী' কিন্তু লেখা আছে 'মোহাম্মদ আলি'। দেখতে খুব একটা পার্থক্য নেই কিন্তু জাতীয় পরিচয়পত্রে যেভাবে আছে সেভাবে নেই। এই ছোট ভুলের জন্যও কি সংশোধনের আবেদন করতে হবে? নাকি এটা সমস্যা হবে না?,namjari_khatian_correction,নামজারি মঞ্জুর হয়েছে খতিয়ানে যে কোন ভুলের জন্য আপনি আপনার প্রোফাইল হতে সংশোধন বাটনে ক্লিক করে তথ্য দিয়ে সংশোধনের আবেদন করতে পারবেন এবং এসি (ল্যান্ড) মঞ্জুর করলে আপনি সংশোধিত খতিয়ান পাবেন।,False
আরেকবার বলুন ভাই। আমি আগে যেটা জিজ্ঞেস করেছিলাম সেটার উত্তর ভালো করে বুঝতে পারিনি। আমার কানে একটু কম শোনে। আর আমি পড়ালেখাও তেমন জানি না। একটু সহজ ভাষায় বলতে পারেন? আমি কী বুঝাতে চাইছিলাম মনে আছে?,repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।,True
"আপনি এখন যে কথাগুলো বললেন, আমি কিছুই বুঝলাম না। আমার মাথায় ঢুকছে না। আমি তো গ্রামের মানুষ, এসব অফিসিয়াল ব্যাপার আমার জানা নেই। যেটা একটু আগে বলেছিলেন সেটা আবার বলবেন? একটু সিম্পল করে বলুন যাতে আমি বুঝতে পারি।",repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।,True
"আমি জানি না কী করব। আমার সব গোলমাল হয়ে গেছে। নামজারি, মিউটেশন, এসব শব্দ শুনলেই আমার মাথা ঘুরে যায়। আর এই কম্পিউটার, অনলাইন - এগুলো আমি কিছুই বুঝি না। আমার বয়স ৬৫, এত দিনে এসব শিখব কেমনে? কেউ কি আমাকে সাহায্য করতে পারবে?",agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।,False
"আমি খুব হতাশ হয়ে পড়েছি। গত ৬ মাস ধরে এই নামজারি নিয়ে দৌড়াদৌড়ি করছি। কখনো বলে একটা কাগজ নেই, কখনো বলে আরেকটা নেই। আমি আর পারছি না। আমার মন খারাপ হয়ে গেছে। কেউ কি আমাকে পথ দেখাতে পারবে? আমার হেল্প দরকার।",agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।,False
আমি এমন একটা পরিস্থিতিতে পড়েছি যেখানে আমি বুঝতে পারছি না কী করব। আমার মাথায় কিছুই ঢুকছে না। সব কিছুই জটিল লাগছে। আমার একজন মানুষ দরকার যে আমাকে ভালো করে বুঝিয়ে বলবে। আপনারা কি কোনো সহায়তা দিতে পারেন?,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।,False
আমার নামজারির কাজটা শেষ হয়ে গেছে। আমি খুশি যে অবশেষে এই ঝামেলা থেকে মুক্তি পেলাম। আপনাদের সাহায্যের জন্য ধন্যবাদ। আমি এবার যাই। আল্লাহ হাফেজ। আমার আর কিছু জানার নেই। সবাই ভালো থাকবেন।,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।,False
আজকের মত থাক। আর কোনো প্রশ্ন নেই। আমি যেটুকু জানতে চেয়েছিলাম সেটা জেনে নিয়েছি। এখন আমি বাড়ি যাব। অনেক ধন্যবাদ আপনাদের। সালাম নেবেন। আমি কলটা রেখে দিচ্ছি।,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।,False
