question,tag,answer,needs_context
"আরে ভাই, আমি এক কাজ করেছি। গত বছর নামজারির আবেদন করেছি, তারপর করোনার জন্য অফিস বন্ধ হয়ে গিয়েছিল। এখন আমি জানি না আমার আবেদনটা কী অবস্থায় আছে। প্রসেসিং হচ্ছে নাকি বাদ পড়ে গেছে। অনলাইনে কিভাবে দেখব?",namjari_status_check,"নামজারি মামলার অগ্রগতি জানতে  land,gov,bd তে প্রবেশ করে আবেদন অবস্থা বাটনে ক্লিক করে তথ্য দিলে আপনি মামলঅর অবস্ধা জানতে পারবেন।",
আমার স্বামী বিদেশে কাজ করেন। আমি কি তার হয়ে নামজারির কাজ করতে পারি? নাকি তাকেই এসে করতে হবে? প্রতিনিধি হিসেবে করার কোনো উপায় আছে?,namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম।",
আমার ভাই আমেরিকায় থাকেন। আমাদের বাবার জমি আছে। ভাই দেশে আসতে পারবেন না। আমি কি তার পক্ষ থেকে নামজারির আবেদন করতে পারব?,namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম।",
আগামীকাল আমার নামজারির শুনানি আছে। আমি জানি না কী কী কাগজ নিয়ে যেতে হবে। কোন ডকুমেন্টস সাথে রাখতে হবে শুনানির জন্য?,namjari_hearing_documents,"শুনানীর সময় যে সব কাগজাদি আপলোড করা হয়েছে , আবেদনকারী নিজে বা তার পক্ষে যে কাগজাদি বোঝে এমন কাউকে সব কাগজাদি নিয়ে যেতে হবে। অন্য কোন প্রয়োজনীয় কাগজাদি থাকলে তাও নেয়া ভাল।",
কাল আমার শুনানি। আমি প্রথমবার যাচ্ছি। শুনানিতে কি সাক্ষী নিয়ে যেতে হয়? নাকি শুধু কাগজপত্র হলেই চলবে? কোন কাগজের মূল কপি লাগবে?,namjari_hearing_documents,"শুনানীর সময় যে সব কাগজাদি আপলোড করা হয়েছে , আবেদনকারী নিজে বা তার পক্ষে যে কাগজাদি বোঝে এমন কাউকে সব কাগজাদি নিয়ে যেতে হবে। অন্য কোন প্রয়োজনীয় কাগজাদি থাকলে তাও নেয়া ভাল।",
আমার নামজারি আবেদন রিজেক্ট হয়েছে। চিঠিতে লেখা 'খারিজ'। এখন আমি কী করতে পারি? আপিল করার কোনো উপায় আছে নাকি নতুন করে আবেদন করতে হবে?,namjari_rejected_appeal,"এসি ল্যান্ড নামজারি না মঞ্জুর করলে এসি (ল্যান্ড) এর নিকট ১৫০ ধারায় রিভিউ বা অতিরিক্ত জেলা প্রশাসক (রাজস্ব) এর নিকট আপিল করা যায়। মনে রাখতে হবে, একবার নামজারি নামঞ্জুর হলে দ্বিতীয় বার আবেদন করা যায় না আবার রিভিউ নামঞ্জুর হলে আপিল করা যায় না।",
গতকাল আমার নামজারি নামঞ্জুর হয়েছে। এখন কোথায় আপিল করব? কত দিনের মধ্যে আপিল করতে হবে? আপিলের জন্য কোনো ফি লাগে?,namjari_rejected_appeal,"এসি ল্যান্ড নামজারি না মঞ্জুর করলে এসি (ল্যান্ড) এর নিকট ১৫০ ধারায় রিভিউ বা অতিরিক্ত জেলা প্রশাসক (রাজস্ব) এর নিকট আপিল করা যায়। মনে রাখতে হবে, একবার নামজারি নামঞ্জুর হলে দ্বিতীয় বার আবেদন করা যায় না আবার রিভিউ নামঞ্জুর হলে আপিল করা যায় না।",
আমার খতিয়ানে আমার বাবার নামটা ভুল লেখা আছে। আর দাগ নম্বরটাও ভুল। এই ভুলগুলো কীভাবে সংশোধন করাব? কোথায় গিয়ে কী করতে হবে?,namjari_khatian_correction,নামজারি মঞ্জুর হয়েছে খতিয়ানে যে কোন ভুলের জন্য আপনি আপনার প্রোফাইল হতে সংশোধন বাটনে ক্লিক করে তথ্য দিয়ে সংশোধনের আবেদন করতে পারবেন এবং এসি (ল্যান্ড) মঞ্জুর করলে আপনি সংশোধিত খতিয়ান পাবেন।,
খতিয়ানে আমার নামের বানান ভুল আছে। এছাড়া আমার পিতার নামও ভুল লেখা। এগুলো ঠিক করার জন্য কী প্রক্রিয়া? সংশোধনের জন্য কোনো ফি লাগবে?,namjari_khatian_correction,নামজারি মঞ্জুর হয়েছে খতিয়ানে যে কোন ভুলের জন্য আপনি আপনার প্রোফাইল হতে সংশোধন বাটনে ক্লিক করে তথ্য দিয়ে সংশোধনের আবেদন করতে পারবেন এবং এসি (ল্যান্ড) মঞ্জুর করলে আপনি সংশোধিত খতিয়ান পাবেন।,
"আমার দরকার নতুন খতিয়ানের কপি। পুরানটা অনেক দিনের, ছিড়ে গেছে। নতুন করে খতিয়ান কপি কীভাবে সংগ্রহ করব? কোথায় গিয়ে আবেদন করতে হবে?",namjari_khatian_copy,নামজারি মহ্জুর হলে আপনার মোবাইলে ১১০ টাকা জমা দেবার জন্য মেসেজ গেলে আপনি আপনার প্রোফইল হতে টাকা জমা দিলে আপনার নামে ডিসিআর ও খতিয়ান প্রস্তুত হয়ে আপনার প্রোফাইলে জমা থাকবে। আপনি আপনার মন মতো সময়ে তা প্রিন্ট নিতে পারবেন ও তা অনলাইনেও দেখাবে।,
আমি অনলাইনে খতিয়ান কপি নামাতে চাই। কিন্তু বুঝতে পারছি না কীভাবে টাকা জমা দিতে হয়। মোবাইল ব্যাংকিং দিয়ে কি করা যাবে?,namjari_khatian_copy,নামজারি মহ্জুর হলে আপনার মোবাইলে ১১০ টাকা জমা দেবার জন্য মেসেজ গেলে আপনি আপনার প্রোফইল হতে টাকা জমা দিলে আপনার নামে ডিসিআর ও খতিয়ান প্রস্তুত হয়ে আপনার প্রোফাইলে জমা থাকবে। আপনি আপনার মন মতো সময়ে তা প্রিন্ট নিতে পারবেন ও তা অনলাইনেও দেখাবে।,
আমি গরিব মানুষ। নামজারি করতে কত টাকা খরচ হবে? গ্রামের লোকেরা বলছে অনেক টাকা লাগে। সরকারি ফি কত? দালালি ছাড়া কি করা সম্ভব?,namjari_fee,"নামজারি করতে সরকারি ফি মোট ১১৭০/ টাকা। প্রতিটি নামচারির জন্য প্রথমে ২০/ টাকা কোর্ট ফি, পরে ফরম দিাখির করলে ৫০/ টাকা নোটিশ জারি ফি এবং নামজারি মঞ্জুর হলে এর ফি বাবদ ডিসিআরএর জন্য  ১১০০/ টাকা দেয় লাগে। আর কোন টাকা দেয়া লাগে না।",
নামজারির জন্য সরকারি ফি কত? আমি শুনেছি অনেকে বেশি টাকা নেয়। আসল খরচটা কত? এর বাইরে আর কোনো খরচ আছে কি?,namjari_fee,"নামজারি করতে সরকারি ফি মোট ১১৭০/ টাকা। প্রতিটি নামচারির জন্য প্রথমে ২০/ টাকা কোর্ট ফি, পরে ফরম দিাখির করলে ৫০/ টাকা নোটিশ জারি ফি এবং নামজারি মঞ্জুর হলে এর ফি বাবদ ডিসিআরএর জন্য  ১১০০/ টাকা দেয় লাগে। আর কোন টাকা দেয়া লাগে না।",
"আমি পড়ালেখা জানি না, কম্পিউটার চালাতে পারি না। অনলাইনে নামজারি করতে পারব না। আমার জন্য কোনো সাহায্য আছে? কেউ কি সাহায্য করতে পারবে?",namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।",
আমি নিরক্ষর। আমার ছেলে বিদেশে। কোথায় গেলে আমাকে নামজারির কাজে সাহায্য করবে? সাহায্যের জন্য কোনো কেন্দ্র আছে?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।",
আমি খুব কনফিউজড। নামজারির জন্য ঠিক কোন কোন কাগজ লাগে? একেক জন একেক কথা বলছে। একটা কমপ্লিট লিস্ট পেতে পারি?,namjari_required_documents,"ক্রয় বা হেবা বা এওয়াজবদল দলিল মূলে নামজারি করতে- মূল দলিলের মূল কপি বা সার্টিফাইড কপি, দাতার নামে রেকর্ডীয় বা নামজারি খতিয়ান, না থাকলে ভায়া দলিল, যাদের নামে নামজারি হবে তাদের ছবি, এনআইডি ও হালতক শূমি উন্নয়ন করদেয়া প্রমান বা দাখিলা।দলিলের ফটোকপি দিয়ে নামজারি করা যাবে না। আপলোডেড সকল দলিল আবেদনগ্রহীতার একাউন্টে থাকবে, কাজেই মূল দলিল বা সার্টিফাইড কপি দিতে হবে।",
নামজারির জন্য কি ফটোকপি চলবে নাকি মূল কাগজ লাগবে? আমার কাছে দলিলের শুধু ফটোকপি আছে। মূল দলিল হারিয়ে গেছে। এখন কী করব?,namjari_required_documents,"ক্রয় বা হেবা বা এওয়াজবদল দলিল মূলে নামজারি করতে- মূল দলিলের মূল কপি বা সার্টিফাইড কপি, দাতার নামে রেকর্ডীয় বা নামজারি খতিয়ান, না থাকলে ভায়া দলিল, যাদের নামে নামজারি হবে তাদের ছবি, এনআইডি ও হালতক শূমি উন্নয়ন করদেয়া প্রমান বা দাখিলা।দলিলের ফটোকপি দিয়ে নামজারি করা যাবে না। আপলোডেড সকল দলিল আবেদনগ্রহীতার একাউন্টে থাকবে, কাজেই মূল দলিল বা সার্টিফাইড কপি দিতে হবে।",
"গতকাল আমার মোবাইলে একটা এসএমএস এসেছে নামজারি নিয়ে। কিন্তু ইংরেজিতে ছিল, বুঝতে পারিনি। এই মেসেজে সাধারণত কী ধরনের তথ্য থাকে?",namjari_hearing_notification,"নামজারি আবেদন দাখিল হলে মোবাইলে এসএমএস যাবে ও কাগজেও নোটিশ যাবে। এসএমএস বা নোটিশে শুনানীর তারিখ ও সময় থাকবে, মোবাইল করার প্রয়োজন হবে না।",
"আমি দুইবার শুনানি মিস করেছি। প্রথমবার অসুস্থ ছিলাম, দ্বিতীয়বার জরুরি কাজ ছিল। এখন কী হবে? আমার আবেদন বাতিল হয়ে যাবে কি?",namjari_hearing_notification,"নামজারি আবেদন দাখিল হলে মোবাইলে এসএমএস যাবে ও কাগজেও নোটিশ যাবে। এসএমএস বা নোটিশে শুনানীর তারিখ ও সময় থাকবে, মোবাইল করার প্রয়োজন হবে না।",
"হ্যালো, নমস্কার। আমি কেমন আছি ভালো। আপনি কেমন আছেন? আজকে আবহাওয়া বেশ ভালো লাগছে।",greetings,"নমস্কার! আমি ভালো আছি, ধন্যবাদ। আপনিও ভালো থাকুন। আমি আপনাকে নামজারি সংক্রান্ত সেবায় সাহায্য করতে পারি।",
আসসালামু আলাইকুম ভাই। কেমন আছেন? আজকে বেশ গরম লাগছে। আপনার এলাকায় কেমন আবহাওয়া?,greetings,"নমস্কার! আমি ভালো আছি, ধন্যবাদ। আপনিও ভালো থাকুন। আমি আপনাকে নামজারি সংক্রান্ত সেবায় সাহায্য করতে পারি।",
সুপ্রভাত। আজকে সকাল থেকেই অনেক কাজ আছে। আপনি কী করছেন এখন?,greetings,"নমস্কার! আমি ভালো আছি, ধন্যবাদ। আপনিও ভালো থাকুন। আমি আপনাকে নামজারি সংক্রান্ত সেবায় সাহায্য করতে পারি।",
ধন্যবাদ আপনাকে। আপনার সাহায্য পেয়ে অনেক উপকার হলো। এখন আমি যেতে চাই।,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।,
অনেক ধন্যবাদ ভাই। আপনি আমার অনেক উপকার করেছেন। আল্লাহ আপনার মঙ্গল করুন। এখন আমি কল শেষ করি।,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।,
থ্যাংক ইউ। গুড বাই। আপনার সাথে কথা বলে ভালো লাগলো।,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।,
আমি একটু ভুল বলেছি আগে। আবার একটু বলেন প্লিজ। আমি ঠিকমতো শুনতে পাইনি।,repeat_again,অবশ্যই। আমি আবার বলছি। আপনার প্রশ্ন অনুযায়ী আমি বিস্তারিত ব্যাখ্যা দেব।,
"দুঃখিত, আমি আগের উত্তরটা ভালো বুঝতে পারিনি। একটু সহজ করে বলা যায়?",repeat_again,অবশ্যই। আমি আবার বলছি। আপনার প্রশ্ন অনুযায়ী আমি বিস্তারিত ব্যাখ্যা দেব।,
আপনি কি একজন এজেন্টের সাথে আমাকে কথা বলাতে পারবেন? আমি একটা জটিল সমস্যায় পড়েছি।,agent_calling,"আমি একটি AI সহায়ক। আমি নামজারি সংক্রান্ত যেকোনো প্রশ্নের উত্তর দিতে পারি। আপনার সমস্যা বলুন, আমি সাহায্য করার চেষ্টা করব।",
আমি একজন মানুষের সাথে কথা বলতে চাই। আপনি তো বট মনে হচ্ছে। কোনো অফিসার আছেন?,agent_calling,"আমি একটি AI সহায়ক। আমি নামজারি সংক্রান্ত যেকোনো প্রশ্নের উত্তর দিতে পারি। আপনার সমস্যা বলুন, আমি সাহায্য করার চেষ্টা করব।",
আমার কি নামজারি করার যোগ্যতা আছে? আমি তো শুধু ভাড়াটিয়া হিসেবে এখানে থাকি।,namjari_eligibility,নামজারি করতে হলে আপনাকে জমির মালিক হতে হবে অথবা আইনগত উত্তরাধিকারী হতে হবে। শুধুমাত্র ভাড়াটিয়া হিসেবে নামজারি করা যায় না।,
আমি কি আমার ছেলের নামে নামজারি করতে পারি? নাকি শুধুমাত্র নিজের নামেই করা যায়?,namjari_eligibility,নামজারি করতে হলে আপনাকে জমির মালিক হতে হবে অথবা আইনগত উত্তরাধিকারী হতে হবে। শুধুমাত্র ভাড়াটিয়া হিসেবে নামজারি করা যায় না।,
আমার নামজারি হয়ে গেছে। এখন নতুন খতিয়ান আর ডিসিআর কিভাবে পাব? কোনো রেজিস্ট্রেশন করতে হবে?,namjari_registration,নামজারি সম্পন্ন হওয়ার পর আপনার মোবাইলে এসএমএস আসবে। এরপর নির্ধারিত ফি পরিশোধ করে আপনি ডিসিআর ও খতিয়ান ডাউনলোড করতে পারবেন।,
নামজারি কমপ্লিট হওয়ার পর কি কোনো সার্টিফিকেট দেয়? নাকি শুধুমাত্র খতিয়ান পাওয়া যায়?,namjari_registration,নামজারি সম্পন্ন হওয়ার পর আপনার মোবাইলে এসএমএস আসবে। এরপর নির্ধারিত ফি পরিশোধ করে আপনি ডিসিআর ও খতিয়ান ডাউনলোড করতে পারবেন।,
"আজকের ক্রিকেট ম্যাচে বাংলাদেশ কেমন খেলেছে? স্কোর কত হয়েছে? আমি সারাদিন কাজে ব্যস্ত ছিলাম, দেখতে পারিনি।",irrelevant,আমি শুধুমাত্র নামজারি বিষয়ক তথ্য দিয়ে সাহায্য করতে পারি। নামজারি সংক্রান্ত কোনো প্রশ্ন থাকলে জিজ্ঞেস করুন।,
খারিজ হয়েছে,namjari_rejected_appeal,"এসি ল্যান্ড নামজারি না মঞ্জুর করলে এসি (ল্যান্ড) এর নিকট ১৫০ ধারায় রিভিউ বা অতিরিক্ত জেলা প্রশাসক (রাজস্ব) এর নিকট আপিল করা যায়। মনে রাখতে হবে, একবার নামজারি নামঞ্জুর হলে দ্বিতীয় বার আবেদন করা যায় না আবার রিভিউ নামঞ্জুর হলে আপিল করা যায় না।",
"সালাম ভাই, আমি একটা সমস্যায় পড়েছি। আমার দাদা মারা গেছেন অনেকদিন হলো, তারপর আমার বাবাও গত বছর মারা গেছে। এখন আমি শুনেছি জমিজমা নিয়ে কিছু একটা করতে হয়। আমার ভাই বলছে নামজারি করতে হবে। আসলে এই নামজার...",namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।",
"আমার একটা প্রশ্ন আছে। আমার একটা আত্মীয় আছেন, তিনি একজন দালাল। তিনি বলেছেন যে আমি তাকে ২০,০০০ টাকা দিলে তিনি ১৫ দিনের মধ্যে নামজারির সব কাজ করে দেবেন। কিন্তু আমার মনে হচ্ছে এইটা অনেক টাকা। আসলে দালাল ...",namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।",
আমি জানতে চাই যে ওয়ারিশ সার্টিফিকেট বানাতে কত সময় লাগে। আমি গত সপ্তাহে ইউনিয়ন পরিষদে গেছিলাম। সেখানে বলল ১৫ দিন লাগবে। কিন্তু আমার প্রতিবেশী বলছে তার ২ মাস লেগেছিল। আসলে কত সময়ের মধ্যে পাওয়া যায়...,namjari_inheritance_documents,"মূল মালিকের মৃত্যুর পরে তার ওয়ারিশগণের নামে নামজারি করতে যদি একটি খতিয়ানে সকল ওয়ারিশদের নাম রাখা হয় তবে রেজিস্টার্ড বন্টননামা লাগবে না, যদি একাধিক ওয়ারিশানদের নামে পৃথক খতিয়ান করতে চায় সেক্ষেত্রে রেজিস্টার্ড বন্টননামা লাগবে। এছাড়া হাল ওয়াশিাননামা, মূল মালিকের খতিয়ানের বা নামজারি খতিয়ানের কপি, সকলের ছবি ও এনআইডি লাগবে।",
জরিপের সময় আমাদের পরিবারে শুধু আমার দাদার নাম ছিল খতিয়ানে। কিন্তু এখন আমরা ৪ ভাই। আমার বাবাও মারা গেছেন। এখন খতিয়ানে আমাদের সবার নাম যোগ করতে হবে। কিন্তু পুরানো খতিয়ানে শুধু একটা নাম। এই সংশোধনের ...,namjari_khatian_correction,নামজারি মঞ্জুর হয়েছে খতিয়ানে যে কোন ভুলের জন্য আপনি আপনার প্রোফাইল হতে সংশোধন বাটনে ক্লিক করে তথ্য দিয়ে সংশোধনের আবেদন করতে পারবেন এবং এসি (ল্যান্ড) মঞ্জুর করলে আপনি সংশোধিত খতিয়ান পাবেন।,
"আমি খুব হতাশ হয়ে পড়েছি। গত ৬ মাস ধরে এই নামজারি নিয়ে দৌড়াদৌড়ি করছি। কখনো বলে একটা কাগজ নেই, কখনো বলে আরেকটা নেই। আমি আর পারছি না। আমার মন খারাপ হয়ে গেছে। কেউ কি আমাকে পথ দেখাতে পারবে? আমার হেল্প...",agent_calling,"আমি একটি AI সহায়ক। আমি নামজারি সংক্রান্ত যেকোনো প্রশ্নের উত্তর দিতে পারি। আপনার সমস্যা বলুন, আমি সাহায্য করার চেষ্টা করব।",
আমার আবেদন খারিজ,namjari_rejected_appeal,"এসি ল্যান্ড নামজারি না মঞ্জুর করলে এসি (ল্যান্ড) এর নিকট ১৫০ ধারায় রিভিউ বা অতিরিক্ত জেলা প্রশাসক (রাজস্ব) এর নিকট আপিল করা যায়। মনে রাখতে হবে, একবার নামজারি নামঞ্জুর হলে দ্বিতীয় বার আবেদন করা যায় না আবার রিভিউ নামঞ্জুর হলে আপিল করা যায় না।",
